target_name,species,uniprot_id,gene_symbol,assay_count,binding_type
DEUP1 protein,Human,Q05D60,DEUP1,359,IC50
zinc finger protein 705d,human,P0CH99,ZNF705D,234,Ki
neuronal membrane glycoprotein m6-b,Homo sapiens,Q13491,GPM6B,290,IC50
RHOA protein,Human,P61586,RHOA,31,Ki
Small ribosomal subunit protein uS9,H. sapiens,P62249,RPS16,319,Kd
PIGR protein,Human,P01833,PIGR,333,IC50
Immunoglobulin kappa variable 2-40,Homo sapiens,A0A087WW87,IGKV2-40,221,Ki
Probable cytosolic iron-sulfur protein assembly protein CIAO1,human,O76071,CIAO1,61,Kd
CYP2D7,H. sapiens,A0A087X1C5,CYP2D7,134,Kd
Enolase 4,Homo sapiens,A6NNW6,ENO4,107,Kd
CLCN5,H. sapiens,P51795,CLCN5,270,Kd
PPIAL4H,H. sapiens,A0A075B767,PPIAL4H,14,EC50
Putative uncharacterized protein CCDC28A-AS1,H. sapiens,A0A096LPI5,CCDC28A-AS1,241,Kd
Amine oxidase [flavin-containing] A,H. sapiens,P21397,MAOA,237,Kd
"Nuclear factor of activated T-cells, cytoplasmic 2",Human,Q13469,NFATC2,325,Kd
Arylsulfatase D (ARSD),Human,P51689,ARSD,107,IC50
Neuronal acetylcholine receptor subunit beta-3,Human,Q05901,CHRNB3,391,Ki
T cell receptor alpha variable 9-2,H. sapiens,A0A087WT02,TRAV9-2,319,Ki
Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCHL1),Homo sapiens,P09936,UCHL1,125,Ki
Hepatocyte growth factor receptor,Human,P08581,MET,49,IC50
SPEGNB protein,Homo sapiens,A0A087WV53,SPEGNB,385,Ki
ANKRD36,H. sapiens,A6QL64,ANKRD36,194,Ki
Splicing factor 3B subunit 2,Homo sapiens,Q13435,SF3B2,151,EC50
"Vascular endothelial growth factor A, long form",Homo sapiens,P15692,VEGFA,148,Ki
IGHV4-4,human,A0A075B6R2,IGHV4-4,224,Kd
histone deacetylase 1,Human,Q13547,HDAC1,256,IC50
CASQ2 protein,Human,O14958,CASQ2,253,Ki
Interferon gamma,human,P01579,IFNG,37,Ki
Free fatty acid receptor 4,Human,Q5NUL3,FFAR4,230,Kd
small nuclear ribonucleoprotein sm d3,Homo sapiens,P62318,SNRPD3,54,IC50
Serine/arginine repetitive matrix protein 4,human,A7MD48,SRRM4,251,Kd
CASK protein,human,O14936,CASK,89,EC50
Interferon alpha-5 (IFNA5),Homo sapiens,P01569,IFNA5,119,EC50
Immunoglobulin lambda variable 3-19 (IGLV3-19),Homo sapiens,P01714,IGLV3-19,145,Kd
Steroid hormone receptor ERR1 (ESRRA),Human,P11474,ESRRA,303,Ki
TBC1D3I,Homo sapiens,A0A087WXS9,TBC1D3I,144,Kd
Inactive phospholipase C-like protein 1 (PLCL1),Homo sapiens,Q15111,PLCL1,389,Ki
Glucocorticoid receptor,Human,P04150,NR3C1,296,EC50
Mitogen-activated protein kinase 10,Homo sapiens,P53779,MAPK10,225,IC50
Regulator of G protein signaling 20,H. sapiens,O76081,RGS20,107,IC50
NR1H4 protein,Homo sapiens,Q96RI1,NR1H4,335,EC50
Tumor necrosis factor (TNF),H. sapiens,P01375,TNF,77,Kd
Limbic system-associated membrane protein (LSAMP),Homo sapiens,Q13449,LSAMP,105,Ki
LZTS3,H. sapiens,O60299,LZTS3,352,Ki
Protein smoothened (SMO),Human,Q99835,SMO,159,IC50
Protein disulfide-isomerase A6 (PDIA6),human,Q15084,PDIA6,45,IC50
monoglyceride lipase,human,Q99685,MGLL,330,Kd
Nuclear transport factor 2,H. sapiens,P61970,NUTF2,329,EC50
MELK protein,Human,Q14680,MELK,237,IC50
IL-6,human,P05231,IL6,90,IC50
EEF1G protein,human,P26641,EEF1G,245,Ki
large ribosomal subunit protein ul16,human,P27635,RPL10,214,Kd
Intermediate conductance calcium activated potassium channel protein 4,Human,O15554,KCNN4,8,EC50
serine/threonine-protein kinase nek7,H. sapiens,Q8TDX7,NEK7,128,EC50
Protein deacetylase HDAC6,Homo sapiens,Q9UBN7,HDAC6,52,Ki
Inter-alpha-trypsin inhibitor heavy chain H3 (ITIH3),Homo sapiens,Q06033,ITIH3,325,Kd
ACAP2 protein,Homo sapiens,Q15057,ACAP2,109,IC50
AP1S1,Homo sapiens,P61966,AP1S1,358,Ki
PICALM,Human,Q13492,PICALM,60,Kd
nuclear transition protein 2,human,Q05952,TNP2,346,Kd
Large ribosomal subunit protein uL16,H. sapiens,P27635,RPL10,251,EC50
Interferon alpha-2 (IFNA2),human,P01563,IFNA2,63,Kd
GIMD1 protein,human,P0DJR0,GIMD1,333,IC50
Natural cytotoxicity triggering receptor 1,human,O76036,NCR1,50,Kd
Transient receptor potential cation channel subfamily M member 8,human,Q7Z2W7,TRPM8,136,Ki
TRIM49 protein,Homo sapiens,P0CI25,TRIM49,173,IC50
26S proteasome regulatory subunit 4,Human,P62191,PSMC1,21,Ki
IFNA21 protein,human,P01568,IFNA21,219,Kd
beta-2 adrenergic receptor,Human,P07550,ADRB2,308,IC50
ERC2-IT1 protein,H. sapiens,O76042,ERC2-IT1,45,Ki
DPP9,H. sapiens,Q86TI2,DPP9,254,EC50
Immunoglobulin lambda variable 4-3 (IGLV4-3),Homo sapiens,A0A075B6K6,IGLV4-3,119,EC50
PIM2 protein,human,Q9P1W9,PIM2,353,Kd
Putative protein FAM157B (FAM157B),human,P0CG42,FAM157B,331,Ki
"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A (PDE7A)",Human,Q13946,PDE7A,289,Ki
CSH1 protein,Homo sapiens,P0DML2,CSH1,211,Ki
Monoglyceride lipase,Human,Q99685,MGLL,367,IC50
serine/threonine-protein kinase tbk1,Human,Q9UHD2,TBK1,154,Kd
Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIAL4H),human,A0A075B767,PPIAL4H,51,Kd
Germinal-center associated nuclear protein (MCM3AP),human,O60318,MCM3AP,365,EC50
Leucine rich repeat and IQ domain containing protein 3,Human,A6PVS8,LRRIQ3,98,Ki
Mineralocorticoid receptor,human,P08235,NR3C2,366,IC50
Interferon-inducible protein AIM2,Homo sapiens,O14862,AIM2,365,IC50
RIPK1,Homo sapiens,Q13546,RIPK1,162,Kd
cyclin-dependent kinase 5 activator 1,H. sapiens,Q15078,CDK5R1,372,IC50
tRNA wybutosine synthesizing protein 4,Homo sapiens,O60294,LCMT2,208,Ki
GLB1,H. sapiens,P16278,GLB1,94,Ki
C X C chemokine receptor type 4,Homo sapiens,P61073,CXCR4,108,IC50
Pre-B-cell leukemia transcription factor 2,human,P40425,PBX2,177,Kd
mitogen-activated protein kinase 11,H. sapiens,Q15759,MAPK11,128,IC50
putative uncharacterized protein encoded by erc2-it1,human,O76042,ERC2-IT1,82,Ki
